,PetID,pic_no,img_bound_polygon_x,img_bound_polygon_y,img_confidence,img_imp_fract,domcol_r,domcol_g,domcol_b,AdoptionSpeed
1976,4f6c8d13e,9,639.0,479.0,0.79999995,1.0,153.0,105.0,62.0,3
1977,c135e081f,1,299.0,399.0,0.79999995,1.0,26.0,23.0,22.0,4
1977,c135e081f,2,299.0,399.0,0.79999995,1.0,51.0,53.0,48.0,4
1977,c135e081f,3,399.0,299.0,0.79999995,1.0,76.0,46.0,26.0,4
1978,1dff1959b,1,359.0,479.0,0.79999995,1.0,203.0,194.0,172.0,4
1978,1dff1959b,2,359.0,479.0,0.79999995,1.0,212.0,192.0,133.0,4
1978,1dff1959b,3,359.0,479.0,0.79999995,1.0,195.0,191.0,162.0,4
1979,d1da78c20,1,225.0,399.0,0.79999995,1.0,236.0,188.0,160.0,4
1979,d1da78c20,2,225.0,399.0,0.79999995,1.0,46.0,51.0,56.0,4
1979,d1da78c20,3,225.0,399.0,0.79999995,1.0,152.0,111.0,90.0,4
1980,35fdb89c9,1,479.0,269.0,0.79999995,1.0,13.0,20.0,41.0,2
1980,35fdb89c9,2,269.0,151.0,0.79999995,1.0,125.0,118.0,120.0,2
1981,bc9c5a76d,1,399.0,299.0,0.79999995,1.0,53.0,47.0,25.0,2
1981,bc9c5a76d,2,299.0,399.0,0.79999995,1.0,58.0,51.0,31.0,2
1981,bc9c5a76d,3,299.0,399.0,0.79999995,1.0,60.0,50.0,30.0,2
1981,bc9c5a76d,4,334.0,399.0,0.79999995,1.0,248.0,251.0,223.0,2
1981,bc9c5a76d,5,399.0,299.0,0.79999995,1.0,202.0,202.0,138.0,2
1981,bc9c5a76d,6,399.0,299.0,0.79999995,1.0,86.0,83.0,34.0,2
1981,bc9c5a76d,7,399.0,299.0,0.79999995,1.0,50.0,50.0,20.0,2
1982,4e8daf8fd,1,298.0,399.0,0.79999995,1.0,132.0,117.0,84.0,2
1982,4e8daf8fd,2,239.0,319.0,0.79999995,1.0,214.0,233.0,200.0,2
1983,7d6847fba,1,639.0,479.0,0.79999995,1.0,123.0,117.0,114.0,4
1984,5a5ec1a49,1,399.0,299.0,0.79999995,1.0,65.0,49.0,89.0,4
1985,483f1aae8,1,399.0,299.0,0.79999995,1.0,17.0,16.0,15.0,4
1986,2ff9e9534,1,340.0,399.0,0.79999995,1.0,26.0,24.0,22.0,1
1986,2ff9e9534,2,282.0,399.0,0.79999995,1.0,23.0,22.0,23.0,1
1986,2ff9e9534,3,321.0,399.0,0.79999995,1.0,175.0,149.0,125.0,1
1986,2ff9e9534,4,288.0,398.0,0.79999995,1.0,247.0,231.0,228.0,1
1986,2ff9e9534,5,296.0,399.0,0.79999995,1.0,247.0,235.0,232.0,1
1987,af862a239,1,399.0,251.0,0.79999995,1.0,16.0,17.0,22.0,1
1987,af862a239,2,399.0,299.0,0.79999995,1.0,32.0,26.0,22.0,1
1988,896e733b5,1,385.0,335.0,0.79999995,1.0,172.0,146.0,116.0,4
1988,896e733b5,2,399.0,299.0,0.79999995,1.0,11.0,9.0,5.0,4
1988,896e733b5,3,399.0,299.0,0.79999995,1.0,158.0,110.0,65.0,4
1988,896e733b5,4,399.0,299.0,0.79999995,1.0,221.0,183.0,131.0,4
1988,896e733b5,5,399.0,268.0,0.79999995,1.0,50.0,48.0,40.0,4
1988,896e733b5,6,399.0,299.0,0.79999995,1.0,54.0,48.0,41.0,4
1989,f67d78df8,1,359.0,479.0,0.79999995,1.0,54.0,52.0,44.0,4
1990,90f1b0525,1,399.0,268.0,0.79999995,1.0,192.0,192.0,195.0,4
1990,90f1b0525,2,399.0,268.0,0.79999995,1.0,194.0,197.0,206.0,4
1991,38f06e4fe,1,399.0,299.0,0.79999995,1.0,148.0,105.0,59.0,1
1991,38f06e4fe,2,351.0,293.0,0.79999995,0.98999995,120.0,78.0,36.0,1
1991,38f06e4fe,3,375.0,299.0,0.79999995,0.97999996,156.0,110.0,57.0,1
1991,38f06e4fe,4,399.0,299.0,0.79999995,1.0,148.0,110.0,82.0,1
1991,38f06e4fe,5,399.0,299.0,0.79999995,1.0,139.0,104.0,81.0,1
1991,38f06e4fe,6,399.0,299.0,0.79999995,1.0,151.0,106.0,54.0,1
1991,38f06e4fe,7,299.0,399.0,0.79999995,1.0,96.0,77.0,57.0,1
1991,38f06e4fe,8,299.0,399.0,0.79999995,1.0,131.0,113.0,86.0,1
1992,c42cf01ba,1,359.0,479.0,0.79999995,1.0,61.0,51.0,46.0,2
1992,c42cf01ba,2,359.0,479.0,0.79999995,1.0,121.0,64.0,22.0,2
1992,c42cf01ba,3,359.0,479.0,0.79999995,1.0,114.0,120.0,114.0,2
1992,c42cf01ba,4,359.0,479.0,0.79999995,1.0,212.0,192.0,169.0,2
1992,c42cf01ba,5,639.0,479.0,0.79999995,1.0,55.0,53.0,45.0,2
1993,9b4dad348,1,299.0,399.0,0.79999995,1.0,130.0,112.0,112.0,1
1993,9b4dad348,2,399.0,299.0,0.79999995,1.0,92.0,79.0,82.0,1
1993,9b4dad348,3,299.0,399.0,0.79999995,1.0,218.0,37.0,51.0,1
1993,9b4dad348,4,399.0,299.0,0.79999995,1.0,221.0,184.0,173.0,1
1993,9b4dad348,5,399.0,299.0,0.79999995,1.0,71.0,44.0,46.0,1
1993,9b4dad348,6,299.0,399.0,0.79999995,1.0,232.0,225.0,224.0,1
1993,9b4dad348,7,299.0,399.0,0.79999995,1.0,227.0,39.0,55.0,1
1993,9b4dad348,8,399.0,299.0,0.79999995,1.0,104.0,74.0,78.0,1
1994,8ab53c55c,1,399.0,265.0,0.79999995,1.0,194.0,188.0,187.0,3
1994,8ab53c55c,2,399.0,279.0,0.79999995,1.0,191.0,186.0,184.0,3
1995,28d20bc71,1,399.0,388.0,0.79999995,1.0,141.0,119.0,92.0,1
1995,28d20bc71,2,353.0,399.0,0.79999995,1.0,27.0,24.0,21.0,1
1995,28d20bc71,3,395.0,299.0,0.79999995,1.0,25.0,22.0,20.0,1
1995,28d20bc71,4,399.0,299.0,0.79999995,1.0,47.0,48.0,49.0,1
1995,28d20bc71,5,399.0,299.0,0.79999995,1.0,20.0,17.0,13.0,1
1996,784d3319e,1,359.0,479.0,0.79999995,1.0,163.0,153.0,144.0,4
1996,784d3319e,2,359.0,479.0,0.79999995,1.0,160.0,152.0,144.0,4
1996,784d3319e,3,359.0,479.0,0.79999995,1.0,157.0,141.0,117.0,4
1997,8d6208f11,1,224.0,299.0,0.79999995,1.0,17.0,13.0,6.0,4
1997,8d6208f11,2,224.0,299.0,0.79999995,1.0,60.0,48.0,25.0,4
1998,da8326fa5,1,639.0,479.0,0.79999995,1.0,159.0,157.0,152.0,1
1998,da8326fa5,2,639.0,479.0,0.79999995,1.0,158.0,157.0,152.0,1
1999,89dd8e9e9,1,366.0,209.0,0.79999995,1.0,10.0,59.0,69.0,1
1999,89dd8e9e9,2,479.0,359.0,0.79999995,1.0,202.0,196.0,190.0,1
1999,89dd8e9e9,3,479.0,359.0,0.79999995,1.0,158.0,154.0,150.0,1
1999,89dd8e9e9,4,479.0,359.0,0.79999995,1.0,19.0,18.0,17.0,1
1999,89dd8e9e9,5,479.0,359.0,0.79999995,1.0,158.0,154.0,147.0,1
1999,89dd8e9e9,6,479.0,359.0,0.79999995,1.0,236.0,227.0,223.0,1
2000,2b980afbc,1,399.0,324.0,0.79999995,1.0,208.0,194.0,170.0,2
2001,f1b5c8b92,1,359.0,479.0,0.79999995,1.0,103.0,81.0,59.0,1
2001,f1b5c8b92,2,359.0,479.0,0.79999995,1.0,134.0,113.0,88.0,1
2001,f1b5c8b92,3,359.0,479.0,0.79999995,1.0,178.0,153.0,122.0,1
2001,f1b5c8b92,4,639.0,479.0,0.79999995,1.0,81.0,48.0,27.0,1
2001,f1b5c8b92,5,359.0,479.0,0.79999995,1.0,151.0,110.0,63.0,1
2002,24731a12c,1,295.0,479.0,0.79999995,1.0,155.0,157.0,149.0,4
2002,24731a12c,2,359.0,479.0,0.79999995,1.0,201.0,195.0,191.0,4
2003,c01daffcc,1,399.0,399.0,0.79999995,1.0,48.0,17.0,26.0,3
2003,c01daffcc,2,399.0,399.0,0.79999995,1.0,52.0,18.0,26.0,3
2004,ab385bfae,1,639.0,479.0,0.79999995,1.0,166.0,153.0,130.0,3
2004,ab385bfae,2,639.0,479.0,0.79999995,1.0,134.0,115.0,94.0,3
2004,ab385bfae,3,359.0,479.0,0.79999995,1.0,216.0,191.0,162.0,3
2004,ab385bfae,4,359.0,479.0,0.79999995,1.0,214.0,194.0,168.0,3
2004,ab385bfae,5,359.0,479.0,0.79999995,1.0,214.0,192.0,157.0,3
2004,ab385bfae,6,212.0,368.0,0.79999995,1.0,233.0,185.0,139.0,3
2004,ab385bfae,7,346.0,407.0,0.79999995,1.0,217.0,193.0,168.0,3
2004,ab385bfae,8,639.0,479.0,0.79999995,1.0,231.0,183.0,129.0,3
2005,04f7eafde,1,399.0,240.0,0.79999995,1.0,65.0,42.0,46.0,1
2005,04f7eafde,2,299.0,399.0,0.79999995,1.0,59.0,47.0,46.0,1
2005,04f7eafde,3,399.0,299.0,0.79999995,1.0,146.0,106.0,91.0,1
2005,04f7eafde,4,224.0,299.0,0.79999995,1.0,114.0,74.0,65.0,1
2005,04f7eafde,5,299.0,399.0,0.79999995,1.0,29.0,24.0,26.0,1
2006,f10390965,1,399.0,299.0,0.79999995,1.0,232.0,229.0,224.0,4
2006,f10390965,2,299.0,399.0,0.79999995,1.0,243.0,238.0,233.0,4
2006,f10390965,3,399.0,299.0,0.79999995,1.0,241.0,232.0,222.0,4
2006,f10390965,4,399.0,299.0,0.79999995,1.0,238.0,229.0,218.0,4
2007,45bec784b,1,399.0,399.0,0.79999995,1.0,168.0,160.0,152.0,3
2007,45bec784b,2,399.0,299.0,0.79999995,1.0,167.0,161.0,152.0,3
2007,45bec784b,3,399.0,299.0,0.79999995,1.0,98.0,80.0,64.0,3
2007,45bec784b,4,399.0,299.0,0.79999995,1.0,236.0,232.0,234.0,3
2007,45bec784b,5,399.0,299.0,0.79999995,1.0,195.0,185.0,182.0,3
2008,8fc22fd2c,1,359.0,479.0,0.79999995,1.0,223.0,226.0,217.0,4
2008,8fc22fd2c,2,269.0,479.0,0.79999995,1.0,157.0,157.0,153.0,4
2008,8fc22fd2c,3,359.0,479.0,0.79999995,1.0,86.0,88.0,81.0,4
2008,8fc22fd2c,4,351.0,416.0,0.79999995,0.96,241.0,241.0,237.0,4
2008,8fc22fd2c,5,359.0,479.0,0.79999995,1.0,86.0,84.0,74.0,4
2009,fe83618e5,1,399.0,299.0,0.79999995,1.0,131.0,126.0,120.0,1
2009,fe83618e5,2,399.0,299.0,0.79999995,1.0,126.0,120.0,112.0,1
2009,fe83618e5,3,299.0,399.0,0.79999995,1.0,197.0,192.0,189.0,1
2010,c05b7439a,1,299.0,399.0,0.79999995,1.0,83.0,43.0,29.0,1
2010,c05b7439a,2,299.0,399.0,0.79999995,1.0,113.0,73.0,51.0,1
2010,c05b7439a,3,399.0,299.0,0.79999995,1.0,111.0,70.0,49.0,1
2010,c05b7439a,4,299.0,399.0,0.79999995,1.0,165.0,104.0,70.0,1
2010,c05b7439a,5,299.0,399.0,0.79999995,1.0,117.0,73.0,54.0,1
2011,27e6b452b,1,359.0,479.0,0.79999995,1.0,199.0,192.0,188.0,4
2011,27e6b452b,2,359.0,479.0,0.79999995,1.0,112.0,112.0,112.0,4
2011,27e6b452b,3,359.0,479.0,0.79999995,1.0,194.0,187.0,182.0,4
2011,27e6b452b,4,359.0,479.0,0.79999995,1.0,163.0,162.0,150.0,4
2011,27e6b452b,5,359.0,479.0,0.79999995,1.0,98.0,83.0,62.0,4
2012,a5746676d,1,639.0,639.0,0.79999995,1.0,165.0,156.0,151.0,4
2012,a5746676d,2,639.0,479.0,0.79999995,1.0,25.0,22.0,21.0,4
2012,a5746676d,3,639.0,479.0,0.79999995,1.0,25.0,22.0,21.0,4
2013,53ac79c6c,1,294.0,399.0,0.79999995,1.0,215.0,195.0,177.0,1
2013,53ac79c6c,2,243.0,399.0,0.79999995,1.0,212.0,191.0,172.0,1
2014,0f0219fd7,1,639.0,523.0,0.79999995,1.0,141.0,117.0,91.0,1
2014,0f0219fd7,2,639.0,417.0,0.79999995,1.0,175.0,145.0,93.0,1
2014,0f0219fd7,3,639.0,441.0,0.79999995,0.95,91.0,86.0,80.0,1
2014,0f0219fd7,4,469.0,479.0,1.0,1.0,206.0,199.0,204.0,1
2015,11b20ee8f,1,295.0,479.0,0.79999995,1.0,32.0,24.0,21.0,2
2015,11b20ee8f,2,359.0,479.0,0.79999995,1.0,32.0,22.0,21.0,2
2015,11b20ee8f,3,344.0,479.0,0.79999995,1.0,57.0,46.0,48.0,2
2015,11b20ee8f,4,331.0,479.0,0.79999995,1.0,55.0,50.0,53.0,2
2015,11b20ee8f,5,359.0,479.0,0.79999995,1.0,29.0,22.0,17.0,2
2015,11b20ee8f,6,303.0,479.0,0.79999995,1.0,30.0,25.0,30.0,2
2016,8a7fcc8cd,1,320.0,478.0,0.79999995,1.0,156.0,105.0,64.0,3
2016,8a7fcc8cd,2,284.0,479.0,0.79999995,1.0,192.0,196.0,192.0,3
2016,8a7fcc8cd,3,298.0,479.0,0.79999995,1.0,108.0,70.0,49.0,3
2016,8a7fcc8cd,4,639.0,357.0,0.79999995,1.0,123.0,67.0,34.0,3
2016,8a7fcc8cd,5,399.0,479.0,0.79999995,1.0,151.0,113.0,87.0,3
2017,6868acfce,1,179.0,134.0,0.79999995,1.0,207.0,144.0,91.0,4
2017,6868acfce,2,179.0,134.0,0.79999995,1.0,65.0,51.0,44.0,4
2017,6868acfce,3,179.0,134.0,0.79999995,1.0,133.0,120.0,114.0,4
2017,6868acfce,4,179.0,134.0,0.79999995,1.0,157.0,149.0,143.0,4
2018,12a55ba5e,1,299.0,399.0,0.29999998,1.41,130.0,121.0,116.0,2
2018,12a55ba5e,2,299.0,399.0,1.0,0.88,150.0,155.0,155.0,2
2018,12a55ba5e,3,399.0,299.0,0.79999995,1.0,146.0,150.0,148.0,2
2018,12a55ba5e,4,299.0,399.0,0.79999995,1.0,85.0,98.0,91.0,2
2019,66832a1e1,1,359.0,479.0,0.79999995,1.0,157.0,113.0,89.0,2
2019,66832a1e1,2,639.0,479.0,0.79999995,1.0,163.0,154.0,153.0,2
2019,66832a1e1,3,498.0,479.0,0.79999995,0.9,213.0,191.0,170.0,2
2019,66832a1e1,4,639.0,479.0,0.79999995,1.0,90.0,82.0,78.0,2
2019,66832a1e1,5,359.0,479.0,0.79999995,1.0,195.0,153.0,130.0,2
2019,66832a1e1,6,359.0,479.0,0.79999995,1.0,57.0,120.0,177.0,2
2019,66832a1e1,7,359.0,479.0,0.79999995,1.0,170.0,149.0,129.0,2
2020,94563fe71,1,399.0,264.0,0.79999995,1.0,87.0,83.0,79.0,2
2020,94563fe71,2,399.0,264.0,0.79999995,1.0,98.0,121.0,142.0,2
2020,94563fe71,3,264.0,399.0,0.79999995,1.0,29.0,23.0,25.0,2
2020,94563fe71,4,264.0,399.0,0.79999995,1.0,122.0,119.0,118.0,2
2020,94563fe71,5,399.0,264.0,0.79999995,1.0,195.0,193.0,191.0,2
2021,460ac160c,1,639.0,639.0,0.79999995,1.0,91.0,83.0,88.0,1
2021,460ac160c,2,639.0,639.0,0.79999995,1.0,233.0,231.0,234.0,1
2021,460ac160c,3,639.0,639.0,0.79999995,1.0,195.0,193.0,190.0,1
2021,460ac160c,4,639.0,639.0,0.79999995,0.96,29.0,26.0,24.0,1
2021,460ac160c,5,639.0,639.0,0.79999995,1.0,195.0,194.0,189.0,1
2021,460ac160c,6,639.0,639.0,0.79999995,1.0,161.0,155.0,154.0,1
2022,339a623c4,1,399.0,298.0,0.79999995,1.0,147.0,158.0,156.0,4
2022,339a623c4,2,399.0,298.0,0.79999995,1.0,109.0,75.0,50.0,4
2022,339a623c4,3,399.0,298.0,0.79999995,1.0,96.0,78.0,59.0,4
2022,339a623c4,4,383.0,298.0,0.79999995,0.98999995,47.0,51.0,48.0,4
2022,339a623c4,5,399.0,298.0,0.79999995,1.0,22.0,48.0,106.0,4
2023,0073c33d0,1,298.0,399.0,0.79999995,1.0,48.0,46.0,54.0,3
2024,3f222f11f,1,299.0,399.0,0.79999995,1.0,216.0,194.0,168.0,4
2025,350a14e36,1,238.0,398.0,0.79999995,1.0,97.0,81.0,79.0,3
2025,350a14e36,2,399.0,238.0,0.79999995,1.0,61.0,47.0,47.0,3
2025,350a14e36,3,399.0,238.0,0.79999995,1.0,166.0,145.0,187.0,3
2025,350a14e36,4,399.0,238.0,0.79999995,1.0,125.0,115.0,116.0,3
2025,350a14e36,5,399.0,238.0,0.79999995,1.0,93.0,84.0,91.0,3
2026,cef0e42a5,1,357.0,479.0,0.79999995,0.95,130.0,117.0,101.0,4
2027,34fcc459a,1,266.0,399.0,0.79999995,1.0,172.0,147.0,123.0,4
2027,34fcc459a,2,266.0,399.0,0.79999995,1.0,33.0,24.0,22.0,4
2027,34fcc459a,3,399.0,266.0,0.79999995,1.0,153.0,112.0,88.0,4
2027,34fcc459a,4,266.0,399.0,0.79999995,1.0,124.0,79.0,64.0,4
2027,34fcc459a,5,399.0,266.0,0.79999995,1.0,79.0,42.0,30.0,4
2028,9d3d3b938,1,399.0,375.0,0.79999995,1.0,118.0,115.0,117.0,4
2028,9d3d3b938,2,299.0,399.0,0.79999995,1.0,244.0,248.0,246.0,4
2029,e4deffd71,1,371.0,224.0,0.79999995,0.97999996,206.0,193.0,157.0,1
2029,e4deffd71,2,375.0,224.0,0.79999995,0.97999996,209.0,190.0,155.0,1
2029,e4deffd71,3,399.0,224.0,0.79999995,1.0,208.0,195.0,166.0,1
2029,e4deffd71,4,351.0,224.0,0.79999995,0.94,166.0,157.0,129.0,1
2029,e4deffd71,5,399.0,224.0,0.79999995,1.0,168.0,156.0,129.0,1
2029,e4deffd71,6,399.0,224.0,0.79999995,1.0,226.0,191.0,142.0,1
2029,e4deffd71,7,399.0,224.0,0.79999995,1.0,201.0,195.0,171.0,1
2029,e4deffd71,8,399.0,224.0,0.79999995,1.0,184.0,153.0,97.0,1
2029,e4deffd71,9,399.0,224.0,0.79999995,1.0,199.0,193.0,166.0,1
2030,59d95faef,1,399.0,299.0,0.79999995,1.0,55.0,52.0,32.0,4
2031,4b2150d3a,1,266.0,399.0,0.79999995,1.0,174.0,150.0,164.0,3
2032,605fe21a1,1,299.0,399.0,0.79999995,1.0,109.0,87.0,58.0,3
2032,605fe21a1,2,299.0,399.0,0.79999995,1.0,187.0,150.0,91.0,3
2032,605fe21a1,3,299.0,399.0,0.79999995,1.0,109.0,30.0,5.0,3
2032,605fe21a1,4,299.0,399.0,0.79999995,1.0,207.0,142.0,62.0,3
2032,605fe21a1,5,299.0,399.0,0.79999995,1.0,163.0,110.0,41.0,3
2032,605fe21a1,6,299.0,399.0,0.79999995,1.0,204.0,146.0,73.0,3
2032,605fe21a1,7,299.0,399.0,0.79999995,1.0,207.0,148.0,72.0,3
2032,605fe21a1,8,299.0,399.0,0.79999995,1.0,203.0,144.0,67.0,3
2032,605fe21a1,9,299.0,399.0,0.79999995,1.0,205.0,147.0,69.0,3
2033,3be9dc4cd,1,399.0,264.0,0.79999995,1.0,113.0,113.0,109.0,4
2033,3be9dc4cd,2,399.0,264.0,0.79999995,1.0,117.0,115.0,109.0,4
2033,3be9dc4cd,3,264.0,399.0,0.79999995,1.0,127.0,127.0,118.0,4
2033,3be9dc4cd,4,399.0,264.0,0.79999995,1.0,124.0,123.0,113.0,4
2033,3be9dc4cd,5,399.0,264.0,0.79999995,1.0,159.0,158.0,159.0,4
2034,20ba919c6,1,399.0,268.0,0.79999995,1.0,143.0,197.0,116.0,1
2034,20ba919c6,2,399.0,268.0,0.79999995,1.0,81.0,85.0,91.0,1
2034,20ba919c6,3,399.0,268.0,0.79999995,1.0,195.0,201.0,125.0,1
2034,20ba919c6,4,399.0,268.0,0.79999995,1.0,118.0,117.0,116.0,1
2034,20ba919c6,5,399.0,268.0,0.79999995,1.0,116.0,119.0,118.0,1
2034,20ba919c6,6,399.0,268.0,0.79999995,1.0,138.0,179.0,95.0,1
2034,20ba919c6,7,399.0,268.0,0.79999995,1.0,147.0,156.0,166.0,1
2034,20ba919c6,8,399.0,268.0,0.79999995,1.0,110.0,169.0,86.0,1
2034,20ba919c6,9,399.0,268.0,0.79999995,1.0,84.0,84.0,84.0,1
2035,79075eca4,1,399.0,299.0,0.79999995,1.0,188.0,191.0,188.0,2
2035,79075eca4,2,399.0,299.0,0.79999995,1.0,114.0,120.0,115.0,2
2036,3101ea018,1,359.0,479.0,0.79999995,1.0,248.0,247.0,241.0,4
2036,3101ea018,2,639.0,479.0,0.79999995,1.0,162.0,147.0,131.0,4
2036,3101ea018,3,625.0,416.0,0.79999995,1.0,161.0,157.0,150.0,4
2037,412b8d565,1,638.0,399.0,0.79999995,1.0,205.0,45.0,64.0,3
2037,412b8d565,2,449.0,479.0,0.79999995,1.0,52.0,51.0,45.0,3
2037,412b8d565,3,359.0,479.0,0.79999995,1.0,22.0,20.0,25.0,3
2037,412b8d565,4,639.0,479.0,0.79999995,1.0,101.0,82.0,67.0,3
2038,cc0f5d3ba,1,399.0,299.0,0.79999995,1.0,187.0,152.0,130.0,2
2038,cc0f5d3ba,2,399.0,299.0,0.79999995,1.0,227.0,228.0,225.0,2
2038,cc0f5d3ba,3,399.0,299.0,0.79999995,1.0,181.0,155.0,129.0,2
2038,cc0f5d3ba,4,399.0,299.0,0.79999995,1.0,218.0,227.0,231.0,2
2038,cc0f5d3ba,5,399.0,299.0,0.79999995,1.0,233.0,232.0,233.0,2
2038,cc0f5d3ba,6,399.0,299.0,0.79999995,1.0,186.0,187.0,191.0,2
2038,cc0f5d3ba,7,399.0,299.0,0.79999995,1.0,133.0,115.0,92.0,2
2039,db33da35e,1,319.0,268.0,0.79999995,0.82,55.0,51.0,47.0,2
2039,db33da35e,2,399.0,268.0,0.79999995,1.0,87.0,81.0,81.0,2
2039,db33da35e,3,399.0,268.0,0.79999995,1.0,53.0,52.0,52.0,2
2039,db33da35e,4,339.0,268.0,0.79999995,0.96999997,56.0,52.0,49.0,2
2039,db33da35e,5,399.0,268.0,0.79999995,1.0,170.0,147.0,125.0,2
2040,b25ad3ff0,1,298.0,399.0,0.79999995,1.0,76.0,45.0,28.0,1
2041,532cac389,1,399.0,299.0,0.79999995,1.0,227.0,228.0,248.0,3
2041,532cac389,2,399.0,299.0,0.79999995,1.0,195.0,196.0,219.0,3
2041,532cac389,3,399.0,299.0,0.79999995,1.0,179.0,154.0,158.0,3
2041,532cac389,4,399.0,299.0,0.79999995,1.0,174.0,158.0,129.0,3
2041,532cac389,5,399.0,299.0,0.79999995,1.0,114.0,60.0,28.0,3
2042,63dad490d,1,265.0,399.0,0.79999995,1.0,218.0,192.0,124.0,3
2042,63dad490d,2,265.0,399.0,0.79999995,1.0,123.0,74.0,57.0,3
2042,63dad490d,3,399.0,265.0,0.79999995,1.0,141.0,120.0,98.0,3
2042,63dad490d,4,363.0,265.0,0.79999995,0.97999996,197.0,194.0,195.0,3
2042,63dad490d,5,265.0,399.0,0.79999995,1.0,19.0,31.0,46.0,3
2042,63dad490d,6,399.0,265.0,0.79999995,1.0,165.0,109.0,71.0,3
2042,63dad490d,7,265.0,399.0,0.79999995,1.0,195.0,198.0,205.0,3
2042,63dad490d,8,265.0,399.0,0.79999995,1.0,228.0,117.0,142.0,3
2042,63dad490d,9,265.0,399.0,0.79999995,1.0,203.0,78.0,101.0,3
2043,47ad34749,1,399.0,299.0,0.79999995,1.0,189.0,147.0,146.0,3
2043,47ad34749,2,399.0,299.0,0.79999995,1.0,220.0,184.0,184.0,3
2043,47ad34749,3,399.0,299.0,0.79999995,1.0,220.0,183.0,168.0,3
2043,47ad34749,4,399.0,299.0,0.79999995,1.0,219.0,181.0,180.0,3
2044,4e1034525,1,359.0,479.0,1.0,1.09,205.0,191.0,164.0,3
2044,4e1034525,2,333.0,479.0,0.79999995,0.98999995,220.0,194.0,169.0,3
2044,4e1034525,3,639.0,479.0,0.79999995,1.0,176.0,153.0,129.0,3
2044,4e1034525,4,359.0,479.0,0.79999995,1.0,161.0,151.0,145.0,3
2044,4e1034525,5,359.0,479.0,0.79999995,1.0,146.0,122.0,92.0,3
2044,4e1034525,6,639.0,479.0,0.79999995,1.0,160.0,147.0,126.0,3
2044,4e1034525,7,359.0,479.0,0.79999995,1.0,203.0,205.0,205.0,3
2044,4e1034525,8,639.0,479.0,0.79999995,1.0,137.0,116.0,91.0,3
2044,4e1034525,9,359.0,479.0,0.79999995,1.0,135.0,114.0,88.0,3
2045,4009f9200,1,346.0,398.0,0.79999995,1.0,215.0,126.0,123.0,0
2045,4009f9200,2,366.0,399.0,0.79999995,1.0,122.0,118.0,114.0,0
2045,4009f9200,3,359.0,399.0,0.79999995,1.0,21.0,19.0,20.0,0
2045,4009f9200,4,299.0,399.0,0.79999995,1.0,246.0,246.0,241.0,0
2045,4009f9200,5,299.0,399.0,0.79999995,1.0,117.0,72.0,66.0,0
2046,f44a6cdaf,1,639.0,479.0,0.79999995,1.0,76.0,49.0,38.0,1
2046,f44a6cdaf,2,639.0,479.0,0.79999995,1.0,206.0,195.0,203.0,1
2046,f44a6cdaf,3,639.0,479.0,0.79999995,0.98999995,81.0,46.0,35.0,1
2046,f44a6cdaf,4,359.0,479.0,0.79999995,1.0,80.0,48.0,29.0,1
2047,5601bd45c,1,240.0,399.0,0.79999995,1.0,148.0,108.0,84.0,2
2047,5601bd45c,2,240.0,399.0,0.79999995,1.0,227.0,235.0,231.0,2
2047,5601bd45c,3,240.0,399.0,0.79999995,1.0,142.0,117.0,91.0,2
2048,f497b28cf,1,639.0,479.0,0.79999995,1.0,105.0,122.0,86.0,3
2048,f497b28cf,2,639.0,479.0,0.79999995,1.0,194.0,148.0,127.0,3
2048,f497b28cf,3,639.0,479.0,0.79999995,1.0,102.0,85.0,60.0,3
2048,f497b28cf,4,639.0,479.0,0.79999995,1.0,122.0,73.0,39.0,3
2049,0e2bf402c,1,639.0,479.0,0.79999995,1.0,72.0,53.0,30.0,1
2049,0e2bf402c,2,359.0,479.0,1.0,0.69,156.0,154.0,179.0,1
2049,0e2bf402c,3,359.0,479.0,0.79999995,1.0,86.0,84.0,86.0,1
2050,7964fc4ad,1,399.0,299.0,0.79999995,1.0,216.0,188.0,159.0,3
2050,7964fc4ad,2,399.0,299.0,0.79999995,1.0,219.0,184.0,138.0,3
2050,7964fc4ad,3,399.0,299.0,0.79999995,1.0,23.0,22.0,24.0,3
2050,7964fc4ad,4,299.0,399.0,0.79999995,1.0,143.0,117.0,88.0,3
2050,7964fc4ad,5,399.0,243.0,0.79999995,1.0,76.0,48.0,28.0,3
2051,6c196faec,1,299.0,399.0,0.79999995,1.0,51.0,48.0,58.0,2
2051,6c196faec,2,299.0,399.0,0.79999995,1.0,52.0,53.0,54.0,2
2051,6c196faec,3,299.0,399.0,0.79999995,1.0,237.0,187.0,143.0,2
2051,6c196faec,4,299.0,399.0,0.79999995,1.0,46.0,54.0,61.0,2
2051,6c196faec,5,299.0,399.0,0.79999995,1.0,49.0,53.0,58.0,2
2051,6c196faec,6,399.0,299.0,1.0,0.9,198.0,195.0,193.0,2
2051,6c196faec,7,399.0,299.0,0.79999995,1.0,28.0,24.0,28.0,2
2051,6c196faec,8,299.0,399.0,0.79999995,1.0,28.0,24.0,30.0,2
2051,6c196faec,9,299.0,399.0,0.79999995,1.0,26.0,22.0,28.0,2
2052,69834808b,1,276.0,205.0,0.79999995,1.0,202.0,149.0,89.0,2
2052,69834808b,2,276.0,205.0,0.79999995,1.0,70.0,49.0,35.0,2
